,Recipe,step-1,trange-1,step-2,trange-2,step-3,trange-3,step-4,trange-4,step-5,trange-5,step-6,trange-6,step-7,trange-7,step-8,trange-8,step-9,trange-9,step-10,trange-10,step-11,trange-11,step-12,trange-12,step-13,trange-13,step-14,trange-14,step-15,trange-15,step-16,trange-16,step-17,trange-17,step-18,trange-18,step-19,trange-19,step-20,trange-20,step-21,trange-21,step-22,trange-22,step-23,trange-23,step-24,trange-24,step-25,trange-25,step-26,trange-26,step-27,trange-27,step-28,trange-28,step-29,trange-29,step-30,trange-30,step-31,trange-31,step-32,trange-32,step-33,trange-33,step-34,trange-34,step-35,trange-35,step-36,trange-36,step-37,trange-37,step-38,trange-38,step-39,trange-39,step-40,trange-40,step-41,trange-41,step-42,trange-42,step-43,trange-43,step-44,trange-44,step-45,trange-45,step-46,trange-46,step-47,trange-47,step-48,trange-48,step-49,trange-49,step-50,trange-50,step-51,trange-51,step-52,trange-52
10,2-ingredient-dough-bagels,preheat oven to 400°f(200°c).,"-1,-1","in a large bowl, mix the self-rising flour and greek yogurt until it comes together to form a ball.","-1,-1",transfer the dough ball to a lightly floured work surface and use your hands to begin flattening and shaping the rough into a roughly 8-inch (20 cm) disk.,"1,26","using a bench scraper or knife, cut the dough into 4 equal pieces.","27,35","one at a time, roll each piece of dough into a log roughly 8 inches (20 cm) long.","36,56",shape the log into a ring and transfer to a parchment paper-lined baking sheet.,"57,73",brush the tops of the bagels with egg wash and sprinkle generously with everything seasoning.,"74,99","bake for 20-25 minutes, until the bagels are golden brown.","100,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2-ingredient-dough-garlic-knots,preheat oven to 400°f(200°c).,"-1,-1","in a large bowl, mix the self-rising flour and greek yogurt until it comes together to form a ball.","-1,-1",transfer the dough ball to a lightly floured work surface and use your hands to begin flattening and shaping the rough into a roughly 8-inch (20 cm) disk.,"1,16","using a bench scraper or knife, cut the dough into 8 equal pieces.","17,24","one at a time, roll each piece out into a roughly 12 inch (30 cm) log and set aside.","25,49",transfer the dough logs to a parchment paper-lined baking sheet and shape individual knots.,"50,74",repeat with remaining logs.,"75,77","in a small bowl, mix together the olive oil, garlic, parsley, and salt.","78,122",brush each knot with garlic oil mixture.,"123,146","bake for 20 minutes, until the garlic knots have begun to turn golden brown.","147,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2-ingredient-dough-pizza,preheat oven to 400°f(200°c).,"-1,-1","in a large bowl, mix the self-rising flour and greek yogurt until it comes together to form a ball.","1,45",transfer the dough ball to a lightly floured work surface and use your hands to begin flattening and shaping the rough into about a 12-inch (30 cm) round.,"46,89","if at any point the dough begins to stick, sprinkle on a bit more flour.","-1,-1",carefully transfer the dough to a lightly floured baking sheet.,"90,106","spread the sauce evenly across the dough, sprinkle on the cheese, and top with pepperonis.","107,152","bake for 20 minutes, until the cheese has melted and the crust has turned golden-brown.","153,165",slice and serve.,"166,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2-ingredient-dough-pretzels,preheat oven to 400°f (200°c).,"-1,-1","in a large bowl, mix the self-rising flour and greek yogurt until it comes together to form a ball.","-1,-1",transfer the dough ball to a lightly floured work surface and use your hands to begin flattening and shaping the rough into a roughly 8-inch (20 cm) disk.,"1,20","using a bench scraper or knife, cut the dough into 8 equal pieces.","21,29","one at a time, roll each piece out into a roughly 14-inch (35 cm) log.","30,55",transfer the logs to a parchment paper-lined baking sheet and shape into individual pretzels.,"56,80",brush the pretzels with egg wash and sprinkle with salt.,"81,104","bake for 20 minutes, until the pretzels are a deep golden brown.","105,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2-ingredient-pasta,"add the mozzarella to a bowl and microwave for 1-2 minutes, until melted.","1,13",allow the mozzarella to cool for 30 seconds.,"14,15","with a spatula, gently fold the egg yolk into the cheese.","16,47",turn the mixture out onto a parchment paper-lined baking sheet.,"48,56",place another piece of parchment paper on top of the dough and press down with your hand until thin.,"57,74",remove the top piece of parchment and cut the dough into thin strips.,"75,126",place the “pasta” on a rack and refrigerate for four hours or overnight.,"127,129",place the “pasta” in boiling water for one minute.,"130,148",drain into a colander and run cool water over the pasta to prevent sticking.,"-1,-1",serve with your favorite sauce and toppings.,"149,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2-ingredient-pumpkin-bread,mix the spice cake mix and pureed pumpkin.,"1,59",spread into a greased loaf pan.,"61,91",bake at 350°f (177°c) for 55-60 min.,"92,101",cool completely.,"103,115",frost to your liking!,"116,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2-ingredient-soda-pop-cakes,mix one box of cake mix with one 12 oz (255 ml) can of soda.,"1,46",pour into a greased glass baking dish.,"48,81",bake at 350°f (180°c) for 30-40 minutes (depends on the cake mix/soda combination).,"82,90",make sure not to touch it until it’s cool.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2-layer-tres-leches-cake,"whisk the flour, baking powder, salt, and cinnamon together in a medium bowl.","17,62","in a separate large bowl, beat the eggs and sugar together with an electric mixer until light, fluffy, and nearly doubled in size, 6-8 minutes.","63,107","using a spatula, gently fold in the flour mixture until just combined (some streaks of flour are okay).","108,137",preheat the oven to 350°f (180°c).,"-1,-1","combine the milk and vanilla extract in a liquid measuring cup or small bowl, then gently fold into the batter, mixing just to blend.","144,204",spray 2 9-inch (23 cm) round cake pans with nonstick cooking spray.,"-1,-1",divide the batter between the pans.,"205,233","bake until the cakes are golden brown around the edges and spring back slightly when pressed in the center, about 20-25 minutes.","234,239","while the cakes are baking, combine the evaporated milk, coconut milk and condensed milk in a liquid measuring cup or small bowl and whisk to blend.","240,279","once the cakes are done, immediately remove the cakes from the pans and invert them onto a wire rack or baking sheet.","280,289",cool for 2 minutes.,"-1,-1","then, poke the cakes all over with a fork.","290,310",return the cakes to the pans.,"311,330","drizzle the condensed milk mixture over the cakes, letting it soak in.","331,383",let sit for 15 minutes.,"384,390","in a medium bowl, whip the heavy cream and powdered sugar with an electric hand mixer until stiff peaks form.","391,437",carefully transfer one of the cakes to a cake stand.,"-1,-1",spread a layer of the whipped cream over the cake.,"438,482",place the other cake on top and spread with the remaining whipped cream.,"483,518","decorate with berries, if desired.","519,570",slice and serve.,"571,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2-minute-sweet-potato-chips,"working in batches, place the sliced sweet potatoes on a piece of parchment paper and sprinkle with salt.","2,104","microwave for 2 minutes and 30 seconds, flipping halfway, until the chips begin to brown.","105,117",continue to microwave at 30 second intervals if necessary.,"-1,-1",allow to cool,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20-minute-beef-and-broccoli-noodle-stir-fry,place the ramen noodles in a large bowl (discard the seasoning packets or save for another use) and pour the boiling water over them.,"21,52","let sit for 6 minutes, stirring every now and then to break up the noodle blocks.","53,66",drain and rinse under cold water.,"67,72",set aside.,"-1,-1","in a small bowl, combine the garlic, cornstarch, sesame oil, lime juice, and soy sauce.","73,113","stir well, then set aside.","114,125","place the broccoli in a large, microwave-safe bowl and microwave for 1½ minutes, until soft.","126,146",set aside.,"147,152","heat 1 teaspoon of olive oil in a large, nonstick pan over high heat.","153,160",add the steak to the pan and toss with 2 tablespoons of the reserved sauce.,"161,188","cook until browned, about 2 minutes.","189,204",remove from the pan and set aside.,"205,209","heat another teaspoon of olive oil in the pan, then add the onion.","210,229","cook, stirring often, until browned, about 4 minutes.","230,239","add the broccoli and cook until lightly browned, about 2 minutes.","240,271",remove from the pan and set aside.,"272,275","add the remaining teaspoon of olive oil to the pan, then add the noodles and the remaining sauce.","276,317","cook, stirring constantly, until the noodles soak up the sauce.","318,328",return the cooked vegetables and steak to the pan and stir to distribute.,"329,378","transfer the noodles to a serving dish and garnish with green onions, cilantro, and sesame seeds, if using.","379,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20-minute-one-pan-pizza,"in a large nonstick pan, combine the warm water, olive oil, flour, sugar, yeast, and salt.","12,58","use a spatula to stir the ingredients, then smooth the dough to the edges of the pan.","59,94","spread the marinara sauce over the dough, all the way to the edges.","95,124","sprinkle the mozzarella evenly over the sauce, then top with the pepperoni.","125,178","place over medium heat, cover, and cook for 10 minutes with the vent covered.","179,204","uncover the vent and cook for 5 more minutes, until the edges are crispy.","205,213",slide the pizza out of the pan onto a cutting board and let cool for 5 minutes.,"214,233","sprinkle with basil, then slice and serve.","234,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25-minute-mussels-in-white-wine,"to clean mussels, scrub them with a stiff brush under cold running water to remove any grit.","31,75","discard any mussels with cracked or broken shells, or that do not close.","76,96","in a large lidded pot over medium-high heat, stir butter until melted.","97,117","add the onion and cook, stirring frequently, until it has softened and started to brown, 6-8 minutes.","118,141","add the garlic and cook for 30 seconds, stirring constantly.","142,160",add the red pepper flakes and season with salt.,"161,182",stir to combine.,"183,191",add the mussels and stir until completely coated.,"192,240",add the white wine and stir.,"241,268","put the lid on the pot and cook until the mussels have opened, 3-5 minutes.","269,297",discard any shells that don’t open after 5 minutes.,"298,303",add the parsley and stir.,"304,326",serve with bread.,"327,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3-cheese-garlic-bread,preheat oven to 400°f (200°c).,"-1,-1","in a bowl, combine all of the ingredients except the baguette, and mix until smooth.","1,62","slice the baguette in half lengthwise, then spread the butter mixture evenly on both sides of the baguette.","67,114","place on a tray lined with parchment paper and bake for about 15 minutes, until cheese is bubbly and starting to brown on the edges.","115,143","slice, cool, then serve.","149,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3-ingredient-banana-oat-smoothie,add rolled oats to a blender and blend until the oats are the size of a fine crumb.,"1,29",add the banana and milk and blend well.,"33,91","pour in a glass, and enjoy!","92,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3-ingredient-brazilian-truffles,put a pot on a medium low heat and melt the butter with the condensed milk.,"1,20",stir in the cocoa powder and continue to stir for 10-15 minutes until the mixture begins to pull away from the edge of the pot.,"21,49",it’s done when you run the spoon through the centre of the mixture and it takes a few seconds to combine again.,"50,68",spread the mixture onto a buttered plate and refrigerate for 2 hours.,"69,101","when set, roll the mixture into small balls and coat them in the chocolate sprinkles (you may need to apply a small amount of butter to your hands to help them from sticking).","102,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3-ingredient-breakfast-cookies,preheat oven to 350˚f (180˚c).,"-1,-1",in a large mixing bowl combine the oats and banana and mash banana and mix until well incorporated.,"19,57",add additional ingredients should you desire.,"64,82",bake for 12 minutes.,"83,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3-ingredient-cajun-bbq-ribs,preheat oven to 250°f (120°c).,"-1,-1",rub the cajun seasoning evenly over the top and bottom of the ribs.,"28,79","bake for 2 hours, until ribs are tender.","80,89",increase oven temperature to 500°f (260°c).,"-1,-1",brush the bbq sauce evenly over the top and the sides.,"90,125","bake for an additional 15 minutes, until the sauce is bubbly and caramelized.","126,132",serve with the extra bbq sauce!,"133,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3-ingredient-chili-glazed-salmon,preheat oven to 400°f (200˚c).,"-1,-1","in a bowl, mix together the salmon, chili sauce, and the scallions.","26,83",place the fillets on a baking tray lined with parchment paper.,"84,107",spoon any leftover sauce on top of the salmon.,"-1,-1","bake for 12-15 minutes, until the salmon is cooked but still tender.","108,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
